Município;População_não_alfabetizada
110001 Alta Floresta D'Oeste;2132
110037 Alto Alegre dos Parecis;1311
110040 Alto Paraíso;1623
110034 Alvorada D'Oeste;1633
110002 Ariquemes;5136
110045 Buritis;2510
110003 Cabixi;648
110060 Cacaulândia;560
110004 Cacoal;4870
110070 Campo Novo de Rondônia;976
110080 Candeias do Jamari;1554
110090 Castanheiras;347
110005 Cerejeiras;1325
110092 Chupinguaia;604
110006 Colorado do Oeste;1806
110007 Corumbiara;765
110008 Costa Marques;816
110094 Cujubim;1376
110009 Espigão D'Oeste;1966
110100 Governador Jorge Teixeira;1080
110010 Guajará-Mirim;2460
110110 Itapuã do Oeste;715
110011 Jaru;4001
110012 Ji-Paraná;6538
110013 Machadinho D'Oeste;2759
110120 Ministro Andreazza;891
110130 Mirante da Serra;1117
110140 Monte Negro;1354
110014 Nova Brasilândia D'Oeste;1612
110033 Nova Mamoré;1893
110143 Nova União;768
110050 Novo Horizonte do Oeste;1094
110015 Ouro Preto do Oeste;2815
110145 Parecis;520
110018 Pimenta Bueno;1991
110146 Pimenteiras do Oeste;140
110020 Porto Velho;16161
110025 Presidente Médici;1925
110147 Primavera de Rondônia;380
110026 Rio Crespo;268
110028 Rolim de Moura;3367
110029 Santa Luzia D'Oeste;894
110148 São Felipe D'Oeste;760
110149 São Francisco do Guaporé;1015
110032 São Miguel do Guaporé;1586
110150 Seringueiras;889
110155 Teixeirópolis;428
110160 Theobroma;1074
110170 Urupá;1403
110175 Vale do Anari;1023
110180 Vale do Paraíso;703
110030 Vilhena;3504
110000 Município ignorado - RO;-
120001 Acrelândia;1306
120005 Assis Brasil;792
120010 Brasiléia;2944
120013 Bujari;1392
120017 Capixaba;1218
120020 Cruzeiro do Sul;9297
120025 Epitaciolândia;1607
120030 Feijó;6974
120032 Jordão;848
120033 Mâncio Lima;2144
120034 Manoel Urbano;1501
120035 Marechal Thaumaturgo;2601
120038 Plácido de Castro;2102
120080 Porto Acre;2147
120039 Porto Walter;1615
120040 Rio Branco;20885
120042 Rodrigues Alves;2577
120043 Santa Rosa do Purus;818
120050 Sena Madureira;5936
120045 Senador Guiomard;2420
120060 Tarauacá;6601
120070 Xapuri;2217
120000 Município ignorado - AC;-
130002 Alvarães;2108
130006 Amaturá;1433
130008 Anamã;905
130010 Anori;1713
130014 Apuí;1380
130020 Atalaia do Norte;3519
130030 Autazes;3009
130040 Barcelos;3282
130050 Barreirinha;1352
130060 Benjamin Constant;4201
130063 Beruri;2316
130068 Boa Vista do Ramos;550
130070 Boca do Acre;5217
130080 Borba;3288
130083 Caapiranga;985
130090 Canutama;2381
130100 Carauari;4106
130110 Careiro;2825
130115 Careiro da Várzea;3129
130120 Coari;8248
130130 Codajás;2614
130140 Eirunepé;5366
130150 Envira;3270
130160 Fonte Boa;3417
130165 Guajará;2739
130170 Humaitá;4535
130180 Ipixuna;4929
130185 Iranduba;3110
130190 Itacoatiara;4949
130195 Itamarati;1813
130200 Itapiranga;345
130210 Japurá;1272
130220 Juruá;2026
130230 Jutaí;2989
130240 Lábrea;6741
130250 Manacapuru;8172
130255 Manaquiri;1750
130260 Manaus;50439
130270 Manicoré;5335
130280 Maraã;2333
130290 Maués;2933
130300 Nhamundá;1043
130310 Nova Olinda do Norte;1919
130320 Novo Airão;1686
130330 Novo Aripuanã;2845
130340 Parintins;3699
130350 Pauini;3269
130353 Presidente Figueiredo;1357
130356 Rio Preto da Eva;2049
130360 Santa Isabel do Rio Negro;3814
130370 Santo Antônio do Içá;3419
130380 São Gabriel da Cachoeira;3876
130390 São Paulo de Olivença;4666
130395 São Sebastião do Uatumã;667
130400 Silves;286
130406 Tabatinga;4431
130410 Tapauá;3602
130420 Tefé;5187
130423 Tonantins;1864
130426 Uarini;1255
130430 Urucará;896
130440 Urucurituba;1052
130000 Município ignorado - AM;-
140005 Alto Alegre;3763
140002 Amajari;2096
140010 Boa Vista;11167
140015 Bonfim;815
140017 Cantá;1554
140020 Caracaraí;1490
140023 Caroebe;696
140028 Iracema;1594
140030 Mucajaí;1704
140040 Normandia;668
140045 Pacaraima;649
140047 Rorainópolis;2281
140050 São João da Baliza;515
140060 São Luiz;589
140070 Uiramutã;1088
140000 Município ignorado - RR;-
150010 Abaetetuba;12629
150013 Abel Figueiredo;790
150020 Acará;7007
150030 Afuá;5666
150034 Água Azul do Norte;2322
150040 Alenquer;5072
150050 Almeirim;2628
150060 Altamira;8729
150070 Anajás;4387
150080 Ananindeua;11851
150085 Anapu;2489
150090 Augusto Corrêa;5969
150095 Aurora do Pará;4189
150100 Aveiro;1268
150110 Bagre;2954
150120 Baião;3277
150125 Bannach;351
150130 Barcarena;5494
150140 Belém;35300
150145 Belterra;1245
150150 Benevides;2273
150157 Bom Jesus do Tocantins;2255
150160 Bonito;2071
150170 Bragança;11689
150172 Brasil Novo;2045
150175 Brejo Grande do Araguaia;965
150178 Breu Branco;6540
150180 Breves;14104
150190 Bujaru;2397
150200 Cachoeira do Arari;2020
150195 Cachoeira do Piriá;5142
150210 Cametá;8120
150215 Canaã dos Carajás;1727
150220 Capanema;6375
150230 Capitão Poço;8356
150240 Castanhal;9344
150250 Chaves;3771
150260 Colares;823
150270 Conceição do Araguaia;4669
150275 Concórdia do Pará;3461
150276 Cumaru do Norte;1577
150277 Curionópolis;2350
150280 Curralinho;3232
150285 Curuá;1020
150290 Curuçá;1983
150293 Dom Eliseu;5680
150295 Eldorado do Carajás;4478
150300 Faro;515
150304 Floresta do Araguaia;2235
150307 Garrafão do Norte;4540
150309 Goianésia do Pará;5012
150310 Gurupá;3851
150320 Igarapé-Açu;4169
150330 Igarapé-Miri;7147
150340 Inhangapi;1029
150345 Ipixuna do Pará;8065
150350 Irituia;3919
150360 Itaituba;8871
150370 Itupiranga;7626
150375 Jacareacanga;1992
150380 Jacundá;5651
150390 Juruti;2716
150400 Limoeiro do Ajuru;2212
150405 Mãe do Rio;3191
150410 Magalhães Barata;635
150420 Marabá;16872
150430 Maracanã;2297
150440 Marapanim;1771
150442 Marituba;3895
150445 Medicilândia;3456
150450 Melgaço;5310
150460 Mocajuba;1695
150470 Moju;8338
150475 Mojuí dos Campos;-
150480 Monte Alegre;5187
150490 Muaná;2820
150495 Nova Esperança do Piriá;3203
150497 Nova Ipixuna;2105
150500 Nova Timboteua;2068
150503 Novo Progresso;1661
150506 Novo Repartimento;8412
150510 Óbidos;4059
150520 Oeiras do Pará;2760
150530 Oriximiná;4299
150540 Ourém;2137
150543 Ourilândia do Norte;2398
150548 Pacajá;5263
150549 Palestina do Pará;1165
150550 Paragominas;8631
150553 Parauapebas;8092
150555 Pau D'Arco;1020
150560 Peixe-Boi;1118
150563 Piçarra;1823
150565 Placas;2648
150570 Ponta de Pedras;2492
150580 Portel;8594
150590 Porto de Moz;3661
150600 Prainha;2836
150610 Primavera;1521
150611 Quatipuru;1888
150613 Redenção;6013
150616 Rio Maria;2074
150618 Rondon do Pará;6703
150619 Rurópolis;4786
150620 Salinópolis;2655
150630 Salvaterra;1238
150635 Santa Bárbara do Pará;980
150640 Santa Cruz do Arari;680
150650 Santa Izabel do Pará;3898
150655 Santa Luzia do Pará;3104
150658 Santa Maria das Barreiras;2209
150660 Santa Maria do Pará;3050
150670 Santana do Araguaia;6174
150680 Santarém;14575
150690 Santarém Novo;690
150700 Santo Antônio do Tauá;2149
150710 São Caetano de Odivelas;1474
150715 São Domingos do Araguaia;2792
150720 São Domingos do Capim;3793
150730 São Félix do Xingu;8323
150740 São Francisco do Pará;1594
150745 São Geraldo do Araguaia;3599
150746 São João da Ponta;296
150747 São João de Pirabas;2875
150750 São João do Araguaia;2103
150760 São Miguel do Guamá;5559
150770 São Sebastião da Boa Vista;2154
150775 Sapucaia;753
150780 Senador José Porfírio;1974
150790 Soure;1558
150795 Tailândia;7049
150796 Terra Alta;668
150797 Terra Santa;791
150800 Tomé-Açu;5782
150803 Tracuateua;3773
150805 Trairão;2309
150808 Tucumã;3095
150810 Tucuruí;6098
150812 Ulianópolis;3706
